"ID";"Name";"Email";"Age";"Balance";"Risk"
1;"Aarush";"aarush1@mail.com";33;334907.43;"Low"
2;"Atharv";"atharv2@mail.com";26;365345.25;"Low"
3;"Shaurya";"shaurya3@mail.com";27;417275.63;"Medium"
4;"Parth";"parth4@mail.com";45;433573.15;"Medium"
5;"Ronit";"ronit5@mail.com";32;410918.16;"Medium"
6;"Tanish";"tanish6@mail.com";34;440436.03;"High"
7;"Advait";"advait7@mail.com";45;280607.99;"High"
8;"Reyansh";"reyansh8@mail.com";42;329943.06;"Medium"
9;"Aryan";"aryan9@mail.com";29;248517.05;"Medium"
10;"Dhruv";"dhruv10@mail.com";32;410120.89;"Low"
11;"Pranav";"pranav11@mail.com";32;232050.24;"High"
12;"Nivaan";"nivaan12@mail.com";40;284325.75;"High"
13;"Anirudh";"anirudh13@mail.com";29;260769.5;"High"
14;"Om";"om14@mail.com";42;406425.5;"Low"
15;"Darsh";"darsh15@mail.com";33;247206.35;"Low"
16;"Yuvraj";"yuvraj16@mail.com";35;312524.59;"Medium"
17;"Raghav";"raghav17@mail.com";40;331795.59;"High"
18;"Laksh";"laksh18@mail.com";36;337181.08;"High"
19;"Dhruv";"dhruv19@mail.com";19;267274.9;"High"
20;"Harsh";"harsh20@mail.com";26;439352.08;"Low"
21;"Aryan";"aryan21@mail.com";31;362008.7;"Medium"
22;"Veer";"veer22@mail.com";44;212241.16;"Low"
23;"Vihaan";"vihaan23@mail.com";25;250096.56;"Low"
24;"Dhruv";"dhruv24@mail.com";18;156034.59;"High"
25;"Vivaan";"vivaan25@mail.com";49;214985.95;"Medium"
26;"Pranav";"pranav26@mail.com";19;477525.75;"High"
27;"Shaurya";"shaurya27@mail.com";21;330952.16;"Medium"
28;"Atharv";"atharv28@mail.com";26;413535.05;"High"
29;"Krishna";"krishna29@mail.com";48;255055.18;"Low"
30;"Darsh";"darsh30@mail.com";21;432783.11;"Low"
31;"Om";"om31@mail.com";42;205998.77;"Medium"
32;"Rudra";"rudra32@mail.com";21;490154.37;"Medium"
33;"Samarth";"samarth33@mail.com";33;322851.49;"Low"
34;"Om";"om34@mail.com";38;349112.87;"Low"
35;"Ishaan";"ishaan35@mail.com";23;162177.82;"Medium"
36;"Sarthak";"sarthak36@mail.com";29;413345.73;"Low"
37;"Sarthak";"sarthak37@mail.com";33;166282.66;"Medium"
38;"Aarush";"aarush38@mail.com";49;188462.12;"Medium"
39;"Nivaan";"nivaan39@mail.com";43;336692.83;"Medium"
40;"Kabir";"kabir40@mail.com";26;152418.85;"Medium"
41;"Manan";"manan41@mail.com";48;202095.5;"Low"
42;"Dhruv";"dhruv42@mail.com";27;499655.34;"High"
43;"Harsh";"harsh43@mail.com";45;215163.58;"Medium"
